City,Pop 2010,,,
Guangzhou,"11,070,654",,,
Shanghai,"22,265,426",,,
Beijing,19295000,,,
Shantou,"1,346,708",,,
Shenzhen,"10,357,938",,,
Tianjin,"11,090,314",,,
Chengdu,"7,677,122",,,
Dongguan,"8,220,937",,,
Hangzhou,"6,242,000",,,
Wuhan,"9,780,644",,,
Shenyang,"6,255,921",,,
Xian,"6,501,189",,,
Nanjing,"7,165,828",,,
Hong Kong,"7,055,071",,,
Chongqing,"7,457,589",,,
Quanzhou,"1,398,427",,,
Wenzhou,"3,039,500",,,
Qingdao,"4,587,200",,,
Suzhou,"5,349,090",,,
Harbin,"6,704,573",,,
Qiqihar,"1,481,637",,,
Xiamen,"3,531,347",,,
Zhengzhou,"4,253,627",,,
Jinan,"4,335,900",,,
Nanchang,"2,357,838",,,
Dalian,"4,087,733",,,
Changsha,"3,093,980",,,
Taiyuan,"3,426,522",,,
Shijiazhuang,"2,861,784",,,
Kunming,"3,583,429",,,
Wuxi,"3,542,319",,,
Changchun,"3,530,115",,,
Ningbo,"3,491,597",,,
Zibo,"2,980,800",,,
Hefei,"3,352,076",,,
Changzhou,"3,290,548",,,
Taizhou,"1,902,500",,,
Tangshan,"3,187,171",,,
Nantong,"2,273,316",,,
Nanning,"3,437,171",,,
Guiyang,"3,037,159",,,
Urumqi,"3,029,372",,,
Fuzhou,"2,921,763",,,
Huaian,"2,633,420",,,
Xuzhou,"3,053,778",,,
Linyi,"2,600,200",,,
Lanzhou,"2,492,325",,,
Yangzhou,"2,399,079",,,
Huizhou,"2,344,507",,,
Anshan,"1,544,084",,,
Huaibei,"1,113,321",,,
Haikou,"2,046,189",,,
Yiwu,"2,038,400",,,
Baotou,"2,070,801",,,
Liuzhou,"1,436,599",,,
Anyang,"1,146,761",,,
Hohhot,"1,980,774",,,
Jilin,"1,975,803",,,
Putian,"1,953,801",,,
Xiangtan,"959,303",,,
Yantai,"1,870,600",,,
Luoyang,"1,925,948",,,
Huainan,"1,666,826",,,
Nanchong,"1,858,875",,,
Jiangmen,"1,822,640",,,
Nanyang,"1,811,732",,,
Baoding,"1,157,891",,,
Fuyang,"1,768,947",,,
Taian,"1,735,500",,,
Suzhou2,"1,647,642",,,
Luan,"1,778,583",,,
Datong,"1,737,517",,,
Yancheng,"1,615,717",,,
Zhanjiang,"1,612,300",,,
Tengzhou,"1,603,700",,,
Huangshi,"764,571",,,
Jiangyin,"1,594,829",,,
Weifang,"1,521,600",,,
Yinchuan,"1,290,170",,,
Changshu,"1,510,103",,,
Zhuhai,"1,560,229",,,
Dengzhou,"1,468,061",,,
Cixi,"1,462,383",,,
Changde,"1,458,536",,,
Pizhou,"1,458,036",,,
Baoji,"1,437,802",,,
Suqian,"1,437,686",,,
Daqing,"1,649,825",,,
Bozhou,"1,409,436",,,
Handan,"941,427",,,
Panjin,"676,464",,,
Wenling,"1,366,800",,,
Maanshan,"741,531",,,
Zigong,"1,362,062",,,
Fushun,"1,356,987",,,
Mianyang,"1,355,331",,,
Yingkou,"738,128",,,
Yichang,"1,411,380",,,
Heze,"1,346,700",,,
Chifeng,"1,333,526",,,
Guilin,"975,638",,,
Yingkou,"1,032,048",,,
Xiangyang,"2,199,689",,,
Haicheng,"1,293,877",,,
Rugao,"1,267,066",,,
Xuchang,"498,058",,,
Neijiang,"1,251,095",,,
Zhangjiagang,"1,248,414",,,
Yixing,"1,235,476",,,
Fuqing,"1,234,838",,,
Zhaoqing,"644,045",,,
Xinyang,"1,229,959",,,
Liaocheng,"1,229,800",,,
Maoming,"1,217,715",,,
Jiaxing,"1,201,900",,,
Zhenjiang,"1,200,400",,,
Xining,"1,198,304",,,
Tianshui,"1,197,174",,,
Ganzhou,"642,653",,,
Huazhou,"1,178,873",,,
Qujing,"740,925",,,
Dingzhou,"1,165,182",,,
Wuhu,"1,307,042",,,
Zhuji,"1,157,900",,,
Xingtai,"688,876",,,
Jingzhou,"1,154,086",,,
Shouguang,"1,139,400",,,
Yuzhou,"1,131,819",,,
Bazhong,"1,126,790",,,
Zoucheng,"1,116,700",,,
Jining,"1,115,300",,,
Zunyi,"1,095,189",,,
Jinzhou,"1,091,799",,,
Guigang,"1,493,874",,,
Zhucheng,"1,086,200",,,
Jinhua,"1,077,300",,,
Hengyang,"1,135,166",,,
Taixing,"1,073,921",,,
Zhangqiu,"1,064,200",,,
Zhuzhou,"1,055,373",,,
Lianyungang,"1,049,831",,,
Ezhou,"1,048,672",,,
Pingdingshan,"1,033,975",,,
Qinhuangdao,"1,029,670",,,
Linhai,"1,028,800",,,
Benxi,"1,094,294",,,
Wuwei,"1,010,295",,,
Hezhou,"1,005,500",,,
Zaoyang,"1,004,741",,,
Xiangcheng,"1,003,626",,,
Dongying,"756,700",,,
Yueyang,"1,232,133",,,
Laiwu,"1,298,500",,,
Bengbu,"972,784",,,
Qidong,"972,525",,,
Mudanjiang,"965,154",,,
Danyang,"960,418",,,
Wuchuan,"947,499",,,
Feicheng,"946,600",,,
Xianyang,"945,420",,,
Linfen,"944,050",,,
Xinyi,"920,610",,,
Weihai,"908,200",,,
Haimen,"907,598",,,
Xinxiang,"1,047,020",,,
Zaozhuang,"2,125,136",,,
Kaifeng,"896,057",,,
Hengyang,"936,789",,,
Shaoxing,"883,800",,,
Jiamusi,"881,711",,,
Suihua,"877,682",,,
Langfang,"868,066",,,
Jiaozuo,"865,356",,,
Rizhao,"1,143,078",,,
Zhoushan,"843,000",,,
Yibin,"836,383",,,
Kashgar,"396,795",,,
Dandong,"798,364",,,
Panzhihua,"787,177",,,
Anqing,"780,514",,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,